"ANO","MES","COD_CLIENTE","CLIENTE","CIDADE_LOJA","VALOR_FATURADO"
2025,1,C18289,SUPER MUFFATO LONDRINA FINAL 17,LONDRINA,1580.40
2025,2,C18483,SUPER MUFFATO FINAL 01,LONDRINA,3066.00
2025,2,C18569,SUPER MUFFATO FINAL 87,APUCARANA,2181.00
2025,2,C18489,SUPER MUFFATO FINAL 18,LONDRINA,2181.00
2025,2,C18572,SUPER MUFFATO FINAL 14,MARINGÁ,2181.00
2025,2,C18289,SUPER MUFFATO LONDRINA FINAL 17,LONDRINA,1857.00
2025,2,C18491,SUPER MUFFATO FINAL-59,CIANORTE,1675.20
2025,2,C18550,SUPER MUFFATO FINAL 87,FOZ DO IGUACU,1533.00
2025,2,C18573,SUPER MUFFATO FINAL 56,MARINGÁ,1533.00
2025,2,C18488,SUPER MUFFATO FINAL-65,LONDRINA,1438.20
2025,2,C18494,SUPER MUFFATO FINAL-02,PARANAVAÍ,1438.20
2025,2,C18571,SUPER MUFFATO FINAL 16,MARINGÁ,1390.80
2025,2,C18536,SUPER MUFFATO FINAL 10,FOZ DO IGUACU,1303.80
2025,2,C18492,SUPER MUFFATO FINAL 00,PRESIDENTE PRUDENTE,1209.00
2025,2,C18484,SUPER MUFFATO FINAL-72,LONDRINA,1209.00
2025,2,C18481,SUPER MUFFATO FINAL 06,LONDRINA,1209.00
2025,2,C18568,SUPER MUFFATO FINAL 21,APUCARANA,1114.20
2025,2,C18482,SUPER MUFFATO FINAL 10,LONDRINA,1114.20
2025,2,C18570,SUPER MUFFATO FINAL 36,MARINGÁ,1114.20
2025,2,C18474,SUPER MUFFATO FINAL -35,IBIPORÃ,1114.20
2025,2,C18478,SUPER MUFFATO FINAL 82,LONDRINA,1114.20
2025,2,C18479,SUPER MUFFATO FINAL -27,LONDRINA,1114.20
2025,2,C18486,SUPER MUFFATO FINAL 64,LONDRINA,1114.20
2025,2,C18480,SUPER MUFFATO FINAL 40,LONDRINA,1114.20
2025,2,C18473,SUPER MUFFATO FINAL 80,ARAPONGAS,1114.20
2025,2,C18475,SUPER MUFFATO FINAL -90,ROLÂNDIA,1114.20
2025,2,C18477,SUPER MUFFATO FINAL-25,CAMBÉ,1114.20
2025,2,C18596,SUPER MUFFATO FINAL 20,CASCAVEL,885.00
2025,2,C18574,SUPER MUFFATO  FINAL 37,MARINGÁ,885.00
2025,2,C18597,SUPER MUFFATO FINAL 00 COQUEIRAL,CASCAVEL,885.00
2025,2,C18594,SUPER MUFFATO FINAL 59 CENTRO,CASCAVEL,885.00
