"ANO","MES","COD_CLIENTE","CLIENTE","CIDADE_LOJA","VALOR_FATURADO"
2025,1,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,21120.00
2025,1,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5906.00
2025,1,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5242.00
2025,1,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,4200.00
2025,1,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,2100.00
2025,1,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1714.00
2025,1,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1612.30
2025,1,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1382.00
2025,1,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1112.00
2025,1,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1107.50
2025,2,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,25694.80
2025,2,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5604.00
2025,2,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5153.80
2025,2,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,3445.00
2025,2,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1930.40
2025,2,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,1752.20
2025,2,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1575.20
2025,2,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1517.00
2025,2,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1425.70
2025,2,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,881.60
2025,3,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,23066.00
2025,3,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5960.40
2025,3,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5231.60
2025,3,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,4551.00
2025,3,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,2481.00
2025,3,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,2245.80
2025,3,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1987.40
2025,3,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1752.20
2025,3,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1410.00
2025,3,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,955.20
2025,4,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,28667.20
2025,4,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,8715.20
2025,4,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,8496.00
2025,4,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,4608.00
2025,4,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,3014.40
2025,4,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1930.40
2025,4,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1930.40
2025,4,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1705.50
2025,4,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1457.60
2025,4,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,806.90
2025,5,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,26864.00
2025,5,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5389.60
2025,5,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5115.20
2025,5,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,4116.80
2025,5,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,2422.80
2025,5,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1547.40
2025,5,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1457.60
2025,5,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1436.80
2025,5,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1348.60
2025,5,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1220.00
2025,6,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,30193.60
2025,6,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,9243.20
2025,6,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,6549.60
2025,6,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,5297.60
2025,6,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,3367.20
2025,6,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,2165.60
2025,6,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1932.10
2025,6,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1930.40
2025,6,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1223.80
2025,6,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,728.80
2025,7,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,29152.00
2025,7,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5175.20
2025,7,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,4114.40
2025,7,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,3897.60
2025,7,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,3132.00
2025,7,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,2403.20
2025,7,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,2107.20
2025,7,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1692.80
2025,7,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1436.80
2025,7,C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,1328.00
2025,7,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,994.00
2025,7,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,0.00
2025,8,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,30521.60
2025,8,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5368.80
2025,8,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,4368.00
2025,8,C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,3552.00
2025,8,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,3120.00
2025,8,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,2188.80
2025,8,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1930.40
2025,8,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,1930.40
2025,8,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1699.80
2025,8,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1006.90
2025,8,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,964.00
2025,8,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,964.00
2025,8,C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,758.40
2025,9,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,29424.00
2025,9,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,7792.80
2025,9,C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,6446.40
2025,9,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5371.20
2025,9,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,5364.00
2025,9,C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,3804.00
2025,9,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,3625.60
2025,9,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,3504.40
2025,9,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,2638.40
2025,9,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1948.80
2025,9,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1692.80
2025,9,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1623.50
2025,9,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1192.00
2025,10,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,34396.80
2025,10,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,6826.40
2025,10,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5590.40
2025,10,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,3984.00
2025,10,C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,3556.00
2025,10,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,3390.40
2025,10,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,2403.20
2025,10,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1989.60
2025,10,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1930.40
2025,10,C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,1923.20
2025,10,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1692.80
2025,10,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1457.60
2025,10,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1109.70
2025,11,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,31993.60
2025,11,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,5841.60
2025,11,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,5117.60
2025,11,C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,3984.00
2025,11,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,3881.60
2025,11,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,3752.00
2025,11,C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,2846.40
2025,11,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,2659.20
2025,11,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,1930.40
2025,11,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1574.00
2025,11,C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,1521.60
2025,11,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1457.60
2025,11,C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,917.30
2025,12,C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,38404.80
2025,12,C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,7797.60
2025,12,C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,5830.40
2025,12,C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,4388.80
2025,12,C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,4363.20
2025,12,C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,4195.20
2025,12,C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,2421.60
2025,12,C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,1992.00
2025,12,C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,1930.40
2025,12,C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,1930.40
