"COD_LOJA","NOME_LOJA","CIDADE_LOJA","Valor Ano Anterior","Valor Atual","Variacao (%)"
C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,MOSSORÓ,46814.80,57612.80,23.07
C19276,NORDESTAO -DOZE ANOS,MOSSORÓ,0.00,10388.00,100.00
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,MOSSORÓ,11510.00,9968.00,-13.40
C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,MOSSORÓ,10395.80,8263.20,-20.51
C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,MOSSORÓ,0.00,8244.00,100.00
C19274,NORDESTAO ABOLICAO IV,MOSSORÓ,0.00,7748.00,100.00
C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,MOSSORÓ,7645.00,7486.40,-2.07
C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,MOSSORÓ,3852.20,7468.80,93.88
C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,MOSSORÓ,3312.40,7386.40,122.99
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,MOSSORÓ,3231.00,4407.20,36.40
C10824,FROTA LJ 01 MOSSORO - LAIRE,MOSSORÓ,3038.00,3873.00,27.49
C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,MOSSORÓ,2687.20,3393.40,26.28
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,MOSSORÓ,1989.10,2444.00,22.87
