"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,600.00,5611.20,408.00,4099.20,-26.95
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,1360.00,4160.00,880.00,2960.00,-28.85
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,558.00,1738.80,864.00,2908.80,67.29
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,120.00,1118.40,168.00,1663.20,48.71
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,324.00,1020.60,432.00,1440.00,41.09
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,360.00,1092.00,400.00,1304.00,19.41
C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,810.00,2521.80,864.00,2851.20,13.06
C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,288.00,2707.20,264.00,2587.20,-4.43
C00566,SUPERMERCADO REBOUCA STO ANT. MOSSORO - LJ 05 - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,800.00,2416.00,640.00,2048.00,-15.23
C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,528.00,4944.00,360.00,3528.00,-28.64
C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,1120.00,3416.00,960.00,3072.00,-10.07
C03057,SUPERMERCADO REBOUCA DO ALTO SAO MANOEL MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,648.00,2035.80,504.00,1663.20,-18.30
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,58.00,580.00,90.00,924.00,59.31
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,165.00,528.00,240.00,818.00,54.92
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,143.00,471.90,204.00,702.00,48.76
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00775",SUCO DE ACEROLA  300ML ,22.00,72.60,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00776",SUCO DE CAJU 300ML  ,21.00,69.30,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00777",SUCO DE GOIABA  300ML,21.00,69.30,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00773",SUCO DE UVA 300ML,17.00,56.10,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00774",SUCO DE CAJA  300ML,17.00,56.10,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00783",SUCO DE GRAVIOLA 300ML ,15.00,49.50,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00807",SUCO DE TANGERINA 300ML,11.00,36.30,0.00,0.00,-100.00
C04106,FROTA LJ 02 - NOVA BETANIA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00785",SUCO DE MARACUJA 300ML ,0.00,0.00,0.00,0.00,-100.00
C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,120.00,1137.60,288.00,2889.60,154.01
C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,378.00,1198.80,792.00,2656.80,121.62
C08365,QUEIROZ ATACADAO MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,320.00,976.00,560.00,1840.00,88.52
C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,2208.00,20870.40,2592.00,26208.00,25.57
C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,4212.00,13208.40,7200.00,24364.80,84.46
C08507,HIPER QUEIROZ NOVA BETANIA MOSSORO,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,4160.00,12736.00,2080.00,7040.00,-44.72
C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,216.00,691.20,348.00,1174.80,69.97
C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,108.00,1020.00,114.00,1146.60,12.41
C08800,HIPER QUEIROZ MOSSORO BH - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,320.00,976.00,320.00,1072.00,9.84
C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,144.00,1353.60,312.00,3175.20,134.57
C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,414.00,1290.60,792.00,2685.60,108.09
C08869,HIPER QUEIROZ BOA VISTA MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,400.00,1208.00,480.00,1608.00,33.11
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,210.00,693.00,292.00,998.00,44.01
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,240.00,768.00,270.00,921.00,19.92
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,70.00,686.00,75.00,762.30,11.12
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00775",SUCO DE ACEROLA  300ML ,44.00,145.20,57.00,194.10,33.68
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00773",SUCO DE UVA 300ML,42.00,138.60,57.00,194.10,40.04
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00807",SUCO DE TANGERINA 300ML,39.00,128.70,57.00,194.10,50.82
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00774",SUCO DE CAJA  300ML,35.00,115.50,57.00,194.10,68.05
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00777",SUCO DE GOIABA  300ML,35.00,115.50,56.00,190.60,65.02
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00776",SUCO DE CAJU 300ML  ,40.00,132.00,42.00,144.20,9.24
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00785",SUCO DE MARACUJA 300ML ,0.00,0.00,23.00,80.50,100.00
C10824,FROTA LJ 01 MOSSORO - LAIRE,jan-fev 2025 e jan-fev 2026,"00783",SUCO DE GRAVIOLA 300ML ,35.00,115.50,0.00,0.00,-100.00
C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,530.00,4240.00,100.00
C19273,SUPERFACIL ATACADO PRESIDENTE DUTRA,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,1540.00,4004.00,100.00
C19274,NORDESTAO ABOLICAO IV,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,362.00,3258.00,100.00
C19274,NORDESTAO ABOLICAO IV,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,0.00,0.00,1060.00,3074.00,100.00
C19274,NORDESTAO ABOLICAO IV,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,472.00,1416.00,100.00
C19276,NORDESTAO -DOZE ANOS,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,530.00,4770.00,100.00
C19276,NORDESTAO -DOZE ANOS,jan-fev 2025 e jan-fev 2026,"00001",AGUA DE COCO COPO,0.00,0.00,1300.00,3770.00,100.00
C19276,NORDESTAO -DOZE ANOS,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,616.00,1848.00,100.00
