"COD_LOJA","NOME_LOJA","MES","ANO","VALOR_BRUTO_VENDA","VALOR_DEVOLUCAO","VALOR_LIQUIDO"
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"01","2025",5906.00,0.00,5906.00
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"02","2025",5604.00,0.00,5604.00
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"03","2025",5960.40,0.00,5960.40
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"04","2025",8496.00,0.00,8496.00
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"05","2025",5389.60,0.00,5389.60
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"06","2025",9243.20,0.00,9243.20
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"07","2025",3897.60,0.00,3897.60
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"08","2025",5368.80,0.00,5368.80
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"09","2025",7792.80,0.00,7792.80
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"10","2025",6826.40,0.00,6826.40
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"11","2025",5117.60,0.00,5117.60
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"12","2025",7797.60,0.00,7797.60
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"01","2026",4349.60,0.00,4349.60
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"02","2026",5618.40,0.00,5618.40
C00564,SUPERMERCADO REBOUCA BOM JARDIM MOSSORO - LJ 02 - LAIRE,"03","2026",2072.00,0.00,2072.00
C00564,>> TOTAL DA LOJA,"","",89440.00,0.00,89440.00
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"01","2025",1714.00,0.00,1714.00
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"02","2025",1517.00,0.00,1517.00
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"03","2025",1987.40,0.00,1987.40
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"04","2025",1930.40,0.00,1930.40
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"05","2025",1220.00,0.00,1220.00
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"06","2025",2165.60,0.00,2165.60
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"07","2025",2403.20,0.00,2403.20
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"08","2025",964.00,0.00,964.00
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"09","2025",1948.80,0.00,1948.80
C00565,SUPERMERCADO REBOUCA BH MOSSORO - LJ 03 - LAIRE,"10","2025",1930.40,0.00,1930.40
