"COD_LOJA","NOME_LOJA","Valor Ano Anterior","Valor Atual","Variacao (%)"
C19200,SUPER MUFFATO FINAL 83,0.00,3888.00,100.00
C18550,SUPER MUFFATO FINAL 87,1533.00,3807.00,148.34
C20410,SUPER MUFFATO FILIAL 1071 - VAREJO ,0.00,1709.88,100.00
C18481,SUPER MUFFATO FINAL 06,1209.00,1580.40,30.72
C18483,SUPER MUFFATO FINAL 01,3066.00,1580.40,-48.45
C18484,SUPER MUFFATO FINAL-72,1209.00,1580.40,30.72
C18488,SUPER MUFFATO FINAL-65,1438.20,1580.40,9.89
C18536,SUPER MUFFATO FINAL 10,1303.80,1510.80,15.88
C18492,SUPER MUFFATO FINAL 00,1209.00,1425.60,17.92
C20416,SUPER MUFFATO FILIAL 1099 - VAREJO,0.00,1396.80,100.00
C20423,SUPER MUFFATO FILIAL - 1130 CASH ,0.00,1396.80,100.00
C19202,SUPER MUFFATO FINAL - 50,0.00,1296.00,100.00
C18289,SUPER MUFFATO LONDRINA FINAL 17,1857.00,1256.40,-32.34
C18474,SUPER MUFFATO FINAL -35,1114.20,1256.40,12.76
C18482,SUPER MUFFATO FINAL 10,1114.20,1256.40,12.76
C18485,SUPER MUFFATO FINAL-54,742.80,1256.40,69.14
C18486,SUPER MUFFATO FINAL 64,1114.20,1256.40,12.76
C18487,SUPER MUFFATO FINAL 55,790.20,1256.40,59.00
C18489,SUPER MUFFATO FINAL 18,2181.00,1256.40,-42.39
C18569,SUPER MUFFATO FINAL 87,2181.00,1256.40,-42.39
C18571,SUPER MUFFATO FINAL 16,1390.80,1256.40,-9.66
C18572,SUPER MUFFATO FINAL 14,2181.00,1256.40,-42.39
C18573,SUPER MUFFATO FINAL 56,1533.00,1256.40,-18.04
C18574,SUPER MUFFATO  FINAL 37,885.00,1256.40,41.97
C18554,SUPER MUFFATO FINAL -60 ,561.00,1165.00,107.66
C20417,SUPER MUFFATO FILIAL 1098 - VAREJO,0.00,1130.52,100.00
C20407,SUPER MUFFATO FILIAL 1069 - VAREJO - TRAD,0.00,1021.80,100.00
C20409,SUPER MUFFATO FILIAL 1080 - VAREJO - TRAD,0.00,1021.80,100.00
C20421,SUPER MUFFATO FILIAL 1151 - CASH - OLIMPIA,0.00,1021.80,100.00
C18473,SUPER MUFFATO FINAL 80,1114.20,885.00,-20.57
C18475,SUPER MUFFATO FINAL -90,1114.20,885.00,-20.57
C18476,SUPER MUFFATO FINAL 98,790.20,885.00,12.00
C18477,SUPER MUFFATO FINAL-25,1114.20,885.00,-20.57
C18478,SUPER MUFFATO FINAL 82,1114.20,885.00,-20.57
C18479,SUPER MUFFATO FINAL -27,1114.20,885.00,-20.57
C18568,SUPER MUFFATO FINAL 21,1114.20,885.00,-20.57
C18561,SUPER MUFFATO FINAL 88,561.00,867.60,54.65
C18596,SUPER MUFFATO FINAL 20,885.00,828.00,-6.44
C18588,SUPER MUFFATO FINAL JK 74,466.20,703.20,50.84
C18564,SUPER MUFFATO FINAL 83,561.00,660.60,17.75
C20420,SUPER MUFFATO FILIAL 1108 - VAREJO ,0.00,626.16,100.00
C20422,SUPER MUFFATO FILIAL 1154 - CASH ,0.00,592.44,100.00
C18493,SUPER MUFFATO FINAL 91,790.20,578.40,-26.80
C18563,SUPER MUFFATO FINAL 74,561.00,513.60,-8.45
C18491,SUPER MUFFATO FINAL-59,1675.20,483.60,-71.13
C20415,SUPER MUFFATO FILIAL 1100 - VAREJO,0.00,463.08,100.00
C18562,SUPER MUFFATO FINAL 49,561.00,336.60,-40.00
C19410,SUPER MUFFATO FINAL 12,0.00,189.60,100.00
C18594,SUPER MUFFATO FINAL 59 CENTRO,885.00,177.00,-80.00
C18597,SUPER MUFFATO FINAL 00 COQUEIRAL,885.00,177.00,-80.00
C20418,SUPER MUFFATO FILIAL 1107 - CASH,0.00,108.72,100.00
C18480,SUPER MUFFATO FINAL 40,1114.20,0.00,-100.00
C18494,SUPER MUFFATO FINAL-02,1438.20,0.00,-100.00
C18530,SUPER MUFFATO FINAL-63,289.20,0.00,-100.00
C18565,SUPER MUFFATO FINAL 74,0.00,0.00,0.00
C18570,SUPER MUFFATO FINAL 36,1114.20,0.00,-100.00
C18595,SUPER MUFFATO FINAL 67,885.00,0.00,-100.00
C18598,SUPER MUFFATO FINAL 70 SANTO ONOFRE,224.40,0.00,-100.00
C18599,SUPER MUFFATO FINAL 26 ,448.80,0.00,-100.00
C18600,SUPER MUFFATO FINAL 30,177.00,0.00,-100.00
C18601,SUPER MUFFATO FINAL 17,448.80,0.00,-100.00
C18602,SUPER MUFFATO FINAL 15 TOCANTINS,625.80,0.00,-100.00
C18603,SUPER MUFFATO FINAL 05,625.80,0.00,-100.00
C18616,SUPER MUFFATO - FINAL 97,0.00,0.00,0.00
C19199,SUPER MUFFATO FINAL  - 68,0.00,0.00,0.00
C19201,SUPER MUFFATO FINAL - 00,0.00,0.00,0.00
C19552,SUPER MUFFATO LOJA - 84,0.00,0.00,0.00
C19718,SUPER MUFFATO - 27,0.00,0.00,0.00
C20267,SUPER MUFFATO FINAL - 99,0.00,0.00,0.00
C20412,SUPER MUFFATO FILIAL 1073 - CASH,0.00,0.00,0.00
C20413,SUPER MUFFATO FILIAL 1084 - CASH,0.00,0.00,0.00
C20414,SUPER MUFFATO FILIAL 1097 - CASH ,0.00,0.00,0.00
C20419,SUPER MUFFATO FILIAL 1878 CD,0.00,0.00,0.00
ZZZZZ,---->> TOTAL REDE SAVEGNAGO,51310.80,56690.80,10.49
